Ticker,Tier,Price,P/E,Sector,Z-Score,ROIC %,Op Margin %,Avg Margin (4Y),Curr Ratio,Int Cov,Mkt Cap (B),Analyst_Rating,Target_Price,Upside_%
DNG.TO,Fortress,6.04,11.84,Basic Materials,10.12,25.9,7.9,9.47,4.633,68.99,0.25,1.0,7.739155,28.13
CMG.TO,Fortress,5.48,21.92,Technology,3.4,25.44,17.16,33.02,1.317,18.35,0.45,2.42857,6.89286,25.78
STN.TO,Fortress,134.7,31.69,Industrials,4.03,11.72,13.66,7.34,1.27,4.95,15.36,1.72727,168.81818,25.33
PSI.TO,Fortress,11.61,14.88,Energy,6.59,18.43,20.03,29.62,2.529,100.0,0.91,2.0,14.4,24.03
PHX.TO,Fortress,7.42,6.87,Energy,3.28,24.67,2.0,8.13,1.901,32.76,0.34,1.66667,9.16667,23.54
ATH.TO,Fortress,6.49,7.46,Energy,4.52,29.97,27.38,25.32,2.016,13.06,3.16,2.11111,7.91667,21.98
POU.TO,Fortress,22.25,2.37,Energy,3.15,9.6,2.77,22.46,3.354,51.87,3.2,1.77778,27.0,21.35
TXG.TO,Fortress,69.12,14.74,Basic Materials,9.32,19.55,43.61,32.65,1.377,100.0,6.65,1.5,82.95833,20.02
NWC.TO,Fortress,49.01,16.67,Consumer Defensive,4.76,16.76,9.46,8.38,2.258,11.2,2.34,1.25,58.5,19.36
ARIS.TO,Fortress,23.79,64.3,Basic Materials,3.6,5.73,40.92,29.55,2.415,3.9,4.82,1.4,28.309605,19.0
GRGD.TO,Fortress,83.29,44.07,Consumer Cyclical,14.38,45.97,33.04,16.06,1.713,6.57,9.02,1.58333,98.41667,18.16
TCW.TO,Fortress,5.9,10.54,Energy,5.68,27.03,12.69,11.85,2.874,59.65,1.25,2.14286,6.82143,15.62
CEU.TO,Fortress,11.94,15.11,Energy,4.73,22.0,10.52,9.13,3.016,7.88,2.54,1.5,13.75,15.16
DSG.TO,Fortress,118.66,48.24,Technology,24.51,13.47,30.54,27.88,1.834,191.87,10.2,1.85714,135.01299,13.78
AGI.TO,Fortress,57.7,32.6,Basic Materials,8.76,10.53,80.68,28.96,1.717,35.88,24.22,1.38462,65.44511,13.42
GIL.TO,Fortress,88.07,20.53,Consumer Cyclical,6.5,20.83,23.23,19.48,2.008,7.02,16.31,1.53846,99.7885,13.31
OGC.TO,Fortress,40.77,17.28,Basic Materials,11.23,12.37,36.34,20.19,1.274,12.14,9.31,1.54545,45.917484,12.63
WDO.TO,Fortress,24.71,12.94,Basic Materials,15.2,29.95,55.55,21.26,4.793,83.52,3.73,2.0,27.66667,11.97
FNV.TO,Fortress,312.64,47.37,Basic Materials,109.33,12.2,70.04,62.22,4.641,7640.0,60.27,1.9375,349.71063,11.86
