Ticker,Tier,Price,P/E,Sector,Z-Score,ROIC %,Op Margin %,Avg Margin (4Y),Curr Ratio,Int Cov,Mkt Cap (B)
NVDA,Fortress,186.5,46.05,Technology,89.6,90.08,63.17,43.63,4.468,341.19,4540.72
ODFL,Fortress,156.8,31.55,Industrials,18.91,31.47,25.66,27.6,1.204,7348.16,32.95
NFLX,Fortress,93.76,39.23,Communication Services,10.51,24.92,28.22,21.5,1.332,14.87,397.29
NYT,Fortress,69.42,34.03,Communication Services,10.05,17.26,14.95,12.51,1.524,378.01,11.3
MSFT,Fortress,483.62,34.45,Technology,9.59,26.37,48.87,43.52,1.401,52.84,3594.83
MU,Fortress,285.41,27.16,Technology,8.66,14.2,44.97,7.06,2.46,21.24,321.23
OLLI,Fortress,109.61,30.36,Consumer Defensive,6.96,11.91,9.03,10.84,2.5,100.0,6.72
NXT,Fortress,87.11,22.57,Technology,5.98,30.62,20.32,14.62,2.178,50.48,13.22
ON,Fortress,54.15,74.18,Technology,4.74,14.89,18.5,27.98,5.231,30.49,22.15
NUE,Fortress,163.11,22.91,Basic Materials,4.51,10.81,10.42,19.62,2.774,13.73,37.33
NKE,Fortress,63.71,38.85,Consumer Cyclical,4.41,14.23,8.09,11.53,2.063,100.0,94.18
MRK,Fortress,105.26,13.92,Healthcare,4.24,23.91,40.8,23.59,1.661,16.69,262.92
MWA,Fortress,23.82,19.52,Industrials,4.22,17.64,20.35,13.99,3.544,14.38,3.72
NVT,Fortress,101.97,57.29,Industrials,3.87,9.02,16.03,15.69,1.574,5.05,16.45
MPC,Fortress,162.63,17.3,Energy,3.32,12.52,4.97,6.44,1.315,5.55,49.44
NXPI,Fortress,217.06,26.8,Technology,3.3,16.43,28.24,26.82,2.375,8.79,54.72
NEM,Fortress,99.85,15.85,Basic Materials,3.2,10.15,46.85,16.86,2.039,13.21,109.68
NTAP,Fortress,107.09,18.66,Technology,2.49,23.49,24.75,19.79,1.341,22.61,21.38
NWSA,Fortress,26.12,31.47,Communication Services,2.35,7.41,10.45,9.72,1.763,,15.25
OC,Fortress,111.91,0.0,Industrials,2.28,9.58,18.07,16.36,1.396,5.32,9.36
MT,Fortress,45.57,13.4,Basic Materials,2.21,5.07,4.09,10.7,1.386,6.72,34.66
NOK,Fortress,6.47,34.05,Technology,2.16,8.71,6.94,8.33,1.478,7.39,36.67
MPLX,Fortress,53.37,11.31,Energy,2.15,15.49,38.35,40.8,1.312,5.63,54.39
OLN,Fortress,20.83,45.28,Basic Materials,1.77,5.49,5.29,14.28,1.559,1.77,2.39
NE,Fortress,28.24,20.32,Energy,1.59,8.6,14.13,20.77,1.751,5.41,4.49
OGN,Fortress,7.17,3.75,Healthcare,1.17,12.78,23.1,25.6,1.754,2.55,1.86
MTCH,Fortress,32.29,15.09,Communication Services,0.61,22.06,30.83,27.9,1.41,5.4,7.77
