Ticker,Tier,Price,P/E,Sector,Z-Score,ROIC %,Op Margin %,Avg Margin (4Y),Curr Ratio,Int Cov,Mkt Cap (B)
WPM.TO,Fortress,161.36,53.43,Basic Materials,267.53,8.72,66.54,50.89,8.089,2269.82,73.26
FNV.TO,Fortress,284.51,43.5,Basic Materials,99.59,12.2,70.04,62.22,4.641,7640.0,54.85
LUG.TO,Fortress,114.02,29.39,Basic Materials,56.3,66.57,62.0,45.55,3.227,3.65,27.53
DPM.TO,Fortress,42.42,18.13,Basic Materials,44.59,20.76,42.96,36.22,2.774,176.88,9.41
ASM.TO,Fortress,8.54,44.95,Basic Materials,35.06,11.12,32.56,6.68,2.754,38.26,1.34
DSG.TO,Fortress,120.41,49.55,Technology,24.86,13.47,30.54,27.88,1.834,191.87,10.35
KNT.TO,Fortress,22.69,16.09,Basic Materials,23.86,30.81,68.87,35.98,3.285,456.18,5.52
GRGD.TO,Fortress,82.67,43.74,Consumer Cyclical,14.31,45.97,33.04,16.06,1.713,6.57,8.96
WDO.TO,Fortress,22.74,11.91,Basic Materials,14.17,29.95,55.55,21.26,4.793,83.52,3.43
OGC.TO,Fortress,38.9,16.62,Basic Materials,10.78,12.37,36.34,20.19,1.274,12.14,8.89
DNG.TO,Fortress,5.87,11.51,Basic Materials,10.12,25.9,7.9,9.47,4.633,68.99,0.25
TXG.TO,Fortress,65.54,14.06,Basic Materials,8.91,19.55,43.61,32.65,1.377,100.0,6.3
ALS.TO,Fortress,40.84,5.34,Basic Materials,8.71,15.66,41.82,50.25,8.46,11.53,1.89
AEM.TO,Fortress,232.76,24.87,Basic Materials,8.41,10.21,53.1,29.01,2.12,33.63,116.93
AGI.TO,Fortress,53.0,30.29,Basic Materials,8.08,10.53,80.68,28.96,1.717,35.88,22.25
ATZ.TO,Fortress,117.35,48.69,Consumer Cyclical,7.99,17.56,11.24,11.61,1.441,6.99,13.53
MSA.TO,Fortress,5.62,7.7,Basic Materials,7.93,31.48,37.5,22.59,1.691,18.14,1.66
PAAS.TO,Fortress,71.16,30.03,Basic Materials,7.78,7.36,30.05,7.2,2.313,10.07,30.03
APM.TO,Fortress,9.76,13.94,Basic Materials,7.44,15.31,33.71,5.28,2.678,6.17,1.45
LIF.TO,Fortress,29.87,17.47,Basic Materials,7.4,20.26,75.13,76.04,1.785,100.0,1.91
K.TO,Fortress,38.66,19.72,Basic Materials,7.32,15.62,44.25,13.05,2.83,30.33,47.12
HWX.TO,Fortress,9.37,12.84,Energy,7.21,30.1,38.65,38.91,1.316,101.82,2.24
TIH.TO,Fortress,166.05,27.49,Industrials,6.84,19.84,14.41,13.97,3.091,25.26,13.51
PSI.TO,Fortress,11.99,15.37,Energy,6.74,18.43,20.03,29.62,2.529,100.0,0.94
GIL.TO,Fortress,85.79,20.14,Consumer Cyclical,6.39,20.83,23.23,19.48,2.008,7.02,15.89
SVM.TO,Fortress,11.48,76.53,Basic Materials,6.25,10.35,42.7,30.35,4.588,22.11,2.53
RCH.TO,Fortress,39.56,26.03,Consumer Cyclical,5.77,11.98,7.67,10.92,3.207,11.36,2.18
TCW.TO,Fortress,5.94,10.61,Energy,5.71,27.03,12.69,11.85,2.874,59.65,1.26
BDGI.TO,Fortress,73.13,29.37,Industrials,5.64,15.63,13.16,6.6,1.477,5.63,2.47
CG.TO,Fortress,19.76,8.94,Basic Materials,5.6,8.84,34.06,13.73,2.888,160.69,3.99
RUS.TO,Fortress,43.8,15.0,Industrials,5.35,12.78,4.4,9.08,3.622,9.67,2.44
MDI.TO,Fortress,12.9,67.89,Basic Materials,5.1,6.6,8.4,10.02,2.487,,1.06
IMG.TO,Fortress,22.65,29.04,Basic Materials,5.08,20.2,35.3,7.83,1.684,374.85,13.43
FVI.TO,Fortress,13.45,11.7,Basic Materials,4.97,12.97,64.23,18.55,3.298,8.31,4.13
ABX.TO,Fortress,59.79,20.98,Basic Materials,4.85,11.18,49.01,30.18,2.944,11.89,102.0
CEU.TO,Fortress,12.27,15.53,Energy,4.79,22.0,10.52,9.13,3.016,7.88,2.61
ATH.TO,Fortress,7.03,8.08,Energy,4.78,29.97,27.38,25.32,2.016,13.06,3.42
NWC.TO,Fortress,48.91,16.64,Consumer Defensive,4.75,16.76,9.46,8.38,2.258,11.2,2.33
VNP.TO,Fortress,17.72,26.45,Basic Materials,4.74,10.36,25.48,5.91,2.973,3.57,1.58
ENGH.TO,Fortress,20.36,15.19,Technology,4.57,14.43,20.01,19.4,1.715,182.27,1.11
IMO.TO,Fortress,118.58,15.14,Energy,4.29,17.48,11.59,12.66,1.472,153.17,60.36
MRU.TO,Fortress,98.79,21.34,Consumer Defensive,4.15,11.89,6.31,6.83,1.296,9.05,21.49
FRU.TO,Fortress,15.19,18.99,Energy,4.02,14.28,51.54,57.64,1.63,13.41,2.49
