Ticker,Tier,Price,P/E,Sector,Z-Score,ROIC %,Op Margin %,Avg Margin (4Y),Curr Ratio,Int Cov,Mkt Cap (B)
SBET,Risky,8.94,0.0,Consumer Cyclical,2117.3,-199.21,967.58,-451.12,8.749,-12.79,1.76
QXO,Risky,19.29,0.0,Industrials,173.31,1.01,4.2,-32.16,3.055,847.87,13.01
BLSH,Risky,37.87,0.0,Technology,87.61,4.16,56.8,-24.12,38.778,3.19,5.71
CWAN,Risky,24.12,15.46,Technology,31.99,1.12,3.19,2.78,1.965,,7.18
IDYA,Risky,34.57,0.0,Healthcare,26.95,-30.33,52.18,-1387.14,12.443,100.0,3.03
INOD,Risky,50.95,50.45,Technology,22.3,32.91,18.8,-0.24,2.69,,1.62
HIMS,Risky,32.47,61.26,Healthcare,21.4,12.73,2.06,-13.63,1.875,,7.39
OR,Risky,35.39,45.37,Basic Materials,21.0,2.8,65.18,53.9,4.373,4.78,6.65
AMLX,Risky,12.08,0.0,Healthcare,20.35,-154.74,29104.21,-inf,13.702,,1.33
ADMA,Risky,18.24,21.21,Healthcare,20.3,32.24,38.01,-14.17,7.128,10.02,4.35
PINS,Risky,25.89,9.08,Communication Services,19.26,3.64,5.58,2.46,8.363,,17.6
INSP,Risky,92.23,63.17,Healthcare,15.33,8.12,4.3,-7.67,5.291,2657.95,2.73
SLNO,Risky,46.3,0.0,Healthcare,14.73,-56.25,34.41,-inf,16.084,-760.26,2.49
CRMD,Risky,11.63,5.26,Healthcare,12.79,-22.69,49.24,-inf,1.942,-529.83,0.92
CHYM,Risky,25.17,0.0,Technology,10.77,-5.73,5.95,-23.2,4.942,100.0,9.43
MTSI,Risky,171.28,0.0,Technology,10.68,-1.32,15.2,14.93,3.707,-4.26,12.83
CVNA,Risky,422.02,96.13,Consumer Cyclical,10.01,14.71,9.79,-1.34,4.047,1.61,91.5
HL,Risky,19.19,61.9,Basic Materials,8.41,4.17,37.6,10.41,2.153,2.33,12.86
GMED,Risky,87.31,28.26,Healthcare,7.81,5.0,22.21,16.26,4.13,100.0,11.79
GDYN,Risky,9.03,53.12,Technology,7.51,-0.39,0.68,-2.28,7.626,100.0,0.77
CART,Risky,44.98,24.71,Consumer Cyclical,7.5,14.74,17.89,-14.55,3.643,100.0,11.85
LQDA,Risky,34.49,0.0,Healthcare,7.48,-62.54,3.25,-448.13,2.202,-9.44,3.0
GME,Risky,20.08,22.82,Consumer Cyclical,7.29,-0.32,6.33,-3.06,10.391,,9.0
ARQT,Risky,29.04,0.0,Healthcare,7.04,-41.89,8.59,-inf,3.5,-4.13,3.56
AVPT,Risky,13.89,0.0,Technology,6.96,2.42,10.09,-12.26,2.372,,3.0
CLBT,Risky,18.03,47.45,Technology,6.86,-69.85,15.07,7.6,2.109,-9515.69,4.41
MRVL,Risky,84.98,29.92,Technology,6.64,-3.88,17.73,-3.82,2.014,-3.72,73.26
ALGM,Risky,26.38,0.0,Technology,6.62,-4.23,2.91,13.97,3.891,-1.82,4.88
ROKU,Risky,108.49,0.0,Communication Services,6.27,-3.89,0.86,-9.13,2.739,-290.87,16.03
ARWR,Risky,66.39,0.0,Healthcare,6.19,11.84,17.2,-4268.44,4.863,1.58,9.18
AUPH,Risky,15.95,28.48,Healthcare,6.16,2.71,40.49,-130.97,5.756,2.54,2.1
SNDK,Risky,237.38,0.0,Technology,5.89,-12.25,8.32,-7.02,3.288,-22.48,34.79
CVAC,Risky,4.52,6.75,Healthcare,5.44,26.13,573.04,-311.79,3.697,100.0,1.02
ALHC,Risky,19.75,0.0,Healthcare,5.17,-24.29,0.83,-8.75,1.612,-4.44,3.95
PATH,Risky,16.39,39.02,Technology,5.14,-7.87,3.18,-28.25,2.654,100.0,8.76
SEI,Risky,45.97,48.9,Energy,4.98,4.61,22.84,11.21,2.395,4.13,3.3
ACAD,Risky,26.71,17.23,Healthcare,4.95,10.63,12.83,-19.93,3.019,100.0,4.52
ORGO,Risky,5.18,0.0,Healthcare,4.87,-0.3,14.69,6.94,3.319,-0.82,0.66
BVN,Risky,27.83,15.55,Basic Materials,4.18,13.5,35.35,-6.28,2.267,14.32,7.07
FRPT,Risky,60.93,25.82,Consumer Defensive,4.18,4.05,8.9,-3.65,5.519,4.88,2.97
FLYW,Risky,14.16,0.0,Technology,4.11,0.29,15.77,-5.96,1.531,4.46,1.73
QGEN,Risky,44.97,24.31,Healthcare,4.1,3.21,25.78,22.22,2.6,3.76,9.75
CMC,Risky,69.22,93.54,Basic Materials,3.96,2.59,10.11,10.83,2.776,3.36,7.69
FTAI,Risky,196.85,45.05,Industrials,3.92,6.39,31.17,24.24,5.843,1.06,20.19
SE,Risky,127.57,55.47,Consumer Cyclical,3.86,7.21,7.95,-4.61,1.435,21.31,75.52
DUOL,Risky,175.5,22.13,Technology,3.75,3.16,14.59,-8.93,2.821,100.0,8.11
AMSC,Risky,28.78,77.78,Industrials,3.66,2.66,4.5,-14.21,3.905,100.0,1.37
ITRG,Risky,4.01,26.73,Basic Materials,3.54,-3.52,29.5,-inf,1.575,-3.0,0.73
MCHP,Risky,63.72,0.0,Technology,3.51,2.04,8.35,26.62,2.252,1.15,34.44
SNPS,Risky,469.72,58.13,Technology,3.34,4.13,5.38,21.29,1.615,4.12,89.87
GILD,Risky,122.74,19.0,Healthcare,3.3,3.55,45.23,37.25,1.453,1.71,152.3
ILMN,Risky,131.16,29.41,Healthcare,3.16,-22.69,21.4,3.45,1.425,-10.79,20.16
SNDR,Risky,26.53,41.45,Industrials,3.14,3.99,2.43,6.83,2.108,10.17,4.65
RLX,Risky,2.33,29.12,Consumer Defensive,3.09,-0.67,9.02,0.7,9.304,100.0,2.96
DINO,Risky,46.08,21.84,Energy,3.08,2.82,7.78,5.64,1.913,2.32,8.62
OKTA,Risky,86.47,78.61,Technology,3.03,0.74,3.1,-30.99,1.466,10.2,15.33
BTSG,Risky,37.45,69.35,Healthcare,3.0,4.31,2.63,2.49,1.794,0.85,6.75
EL,Risky,104.72,0.0,Consumer Defensive,2.94,-4.72,7.27,12.27,1.321,-1.91,37.74
GROY,Risky,4.04,0.0,Basic Materials,2.89,-0.18,13.79,-1830.58,2.025,-0.17,0.9
DVAX,Risky,15.38,0.0,Healthcare,2.85,4.15,24.77,14.23,7.622,5.54,1.81
PARR,Risky,35.14,7.57,Energy,2.85,1.6,17.59,3.33,1.515,0.53,1.79
QRVO,Risky,84.51,36.58,Technology,2.83,2.8,17.71,12.24,2.954,1.84,7.83
CCC,Risky,7.95,0.0,Technology,2.75,3.6,11.3,0.21,1.517,1.69,5.18
SHAK,Risky,81.17,79.58,Consumer Cyclical,2.65,1.08,5.19,1.37,1.841,7.97,3.47
RVTY,Risky,96.75,49.87,Healthcare,2.58,3.51,13.79,19.7,1.753,4.28,11.23
BZ,Risky,20.38,26.13,Communication Services,2.51,7.76,31.76,-0.37,4.184,100.0,9.52
LFST,Risky,7.04,0.0,Healthcare,2.5,-1.64,2.02,-21.95,1.577,-1.17,2.74
CPRI,Risky,24.4,0.0,Consumer Cyclical,2.44,1.34,1.29,10.29,1.252,,2.91
SARO,Risky,28.68,51.21,Industrials,2.42,7.37,8.93,6.57,2.18,1.29,9.59
CXM,Risky,7.78,18.98,Technology,2.35,3.6,5.51,-4.6,1.657,100.0,1.92
FLNC,Risky,19.78,0.0,Utilities,2.33,-4.7,4.71,-7.45,1.506,,3.62
CVI,Risky,25.44,15.42,Energy,2.25,3.03,26.54,5.78,1.958,1.25,2.56
LGN,Risky,43.04,0.0,Industrials,2.25,2.36,5.42,2.5,1.572,1.79,4.53
LEG,Risky,11.0,6.83,Consumer Cyclical,2.18,-15.04,6.8,7.98,2.152,-4.93,1.49
NVRI,Risky,17.92,0.0,Industrials,2.1,0.51,3.65,3.3,1.203,0.09,1.45
ENPH,Risky,32.05,21.95,Technology,2.09,4.98,16.43,15.47,2.042,14.49,4.19
GSAT,Risky,61.04,0.0,Communication Services,2.05,-0.03,13.91,-22.32,2.532,100.0,7.74
PENG,Risky,19.56,69.86,Technology,2.05,4.92,6.05,4.67,2.246,7.69,1.03
DAN,Risky,23.76,54.0,Consumer Cyclical,2.02,4.89,3.86,3.32,1.307,1.5,3.12
GO,Risky,10.1,0.0,Consumer Defensive,1.99,2.98,2.07,2.63,1.298,3.01,0.99
REZI,Risky,35.12,0.0,Industrials,1.95,4.71,8.42,9.4,1.882,3.73,5.26
RERE,Risky,5.3,33.13,Consumer Cyclical,1.88,0.39,2.35,-5.2,3.296,0.97,1.18
KNX,Risky,52.28,59.41,Industrials,1.85,2.91,3.4,9.78,1.329,1.87,8.49
DBI,Risky,7.43,0.0,Consumer Cyclical,1.83,2.52,5.68,3.81,1.266,0.77,0.37
ARDX,Risky,5.83,0.0,Healthcare,1.79,-5.25,4.23,-427.52,4.413,-0.93,1.42
MAGN,Risky,15.14,0.0,Consumer Defensive,1.75,-0.5,10.13,1.74,2.368,-0.1,0.54
RXO,Risky,12.64,0.0,Industrials,1.74,-11.66,0.14,2.78,1.324,-9.13,2.07
HP,Risky,28.68,0.0,Energy,1.68,0.57,1.57,10.47,1.798,0.31,2.85
HUN,Risky,10.0,0.0,Basic Materials,1.67,0.72,1.51,5.5,1.363,0.51,1.74
BAX,Risky,19.11,0.0,Healthcare,1.66,0.62,10.12,5.42,1.837,0.29,9.82
KMX,Risky,38.64,12.67,Consumer Cyclical,1.65,6.11,1.83,-0.23,1.993,1.77,5.67
CWH,Risky,9.73,0.0,Consumer Cyclical,1.62,4.57,4.45,6.8,1.264,0.62,0.61
NTR,Risky,61.72,16.64,Basic Materials,1.62,4.71,13.48,17.5,1.409,2.54,30.06
CC,Risky,11.79,0.0,Basic Materials,1.61,6.85,6.96,6.94,1.706,1.48,1.77
FOUR,Risky,62.97,29.43,Technology,1.6,1.64,11.47,3.24,1.379,0.97,5.58
AXL,Risky,6.41,18.85,Consumer Cyclical,1.58,6.4,4.54,4.41,1.774,1.34,0.76
KSS,Risky,20.41,11.8,Consumer Cyclical,1.57,4.15,2.15,4.31,1.303,1.36,2.29
GEO,Risky,16.12,9.54,Industrials,1.54,6.96,11.48,14.08,1.622,1.2,2.28
AAP,Risky,39.3,0.0,Consumer Cyclical,1.5,-11.2,2.9,1.45,1.729,-8.48,2.36
HI,Risky,31.72,52.0,Industrials,1.49,2.67,11.1,8.84,1.216,0.97,2.24
GFS,Risky,34.92,0.0,Technology,1.47,-0.47,11.55,10.42,3.031,-0.6,19.4
BMY,Risky,53.94,18.16,Healthcare,1.46,-9.34,31.57,17.13,1.266,-3.3,109.81
GT,Risky,8.76,0.0,Consumer Cyclical,1.46,4.97,1.68,4.91,1.269,1.3,2.51
NTNX,Risky,51.69,68.01,Technology,1.45,11.77,7.36,-8.25,1.885,26.26,13.98
IEP,Risky,7.55,0.0,Energy,1.43,-0.32,18.08,2.0,1.849,-0.08,4.53
CE,Risky,42.28,0.0,Basic Materials,1.31,-1.68,9.05,14.55,1.634,-0.47,4.63
HLLY,Risky,4.13,0.0,Consumer Cyclical,1.29,2.35,12.45,13.45,2.775,0.48,0.5
GLNG,Risky,37.21,67.65,Energy,1.25,2.5,39.82,30.45,1.317,100.0,3.81
FIVN,Risky,20.05,52.76,Technology,1.24,0.15,5.65,-9.06,4.614,0.14,1.57
OI,Risky,14.76,0.0,Consumer Cyclical,1.23,5.74,11.01,8.97,1.335,1.11,2.27
IFF,Risky,67.39,0.0,Basic Materials,1.2,2.4,9.13,6.56,1.444,1.91,17.27
ANGI,Risky,12.93,17.71,Communication Services,1.19,2.52,8.2,-2.15,1.893,2.0,0.57
PGY,Risky,20.9,0.0,Technology,1.19,3.57,22.83,-14.51,5.113,100.0,1.68
KT,Risky,18.97,13.85,Communication Services,1.17,3.38,7.48,5.94,1.237,2.53,9.15
EBS,Risky,12.36,9.36,Healthcare,1.16,-5.86,37.78,-4.89,5.765,-1.01,0.66
HSAI,Risky,22.4,49.78,Consumer Cyclical,1.13,-2.03,9.73,-27.14,5.755,-6.89,3.5
ECVT,Risky,9.73,0.0,Basic Materials,1.06,2.63,16.42,14.17,2.249,0.9,1.11
ARRY,Risky,9.22,0.0,Technology,1.0,-21.83,13.97,5.21,1.89,-6.2,1.41
BGS,Risky,4.3,0.0,Consumer Defensive,1.0,-6.28,11.71,10.61,3.205,-1.1,0.34
AVAH,Risky,8.17,22.08,Healthcare,0.93,12.39,11.0,5.11,1.227,1.03,1.71
FOLD,Risky,14.24,0.0,Healthcare,0.89,3.28,20.27,-34.87,2.986,0.42,4.4
ADPT,Risky,16.24,0.0,Healthcare,0.87,-33.54,10.95,-112.16,3.376,-12.78,2.48
PD,Risky,13.11,8.14,Technology,0.86,-6.29,7.7,-26.54,2.37,-5.3,1.22
AER,Risky,143.76,6.86,Industrials,0.81,3.05,61.58,25.29,1.266,,25.63
KLAR,Risky,28.91,0.0,Technology,0.81,-2.66,11.3,-23.32,29.46,-0.26,10.91
SGRY,Risky,15.45,0.0,Healthcare,0.77,4.8,16.45,14.56,1.881,1.73,2.0
CYH,Risky,3.12,1.27,Healthcare,0.73,4.95,8.55,7.46,1.468,0.67,0.44
CWEN,Risky,33.26,14.15,Utilities,0.68,2.01,26.81,18.69,1.541,0.89,6.78
EVH,Risky,4.0,0.0,Healthcare,0.65,-2.09,0.14,-1.58,1.326,-1.55,0.46
BB,Risky,3.79,94.75,Technology,0.6,1.52,13.12,-8.64,2.144,2.42,2.24
PRGO,Risky,13.92,0.0,Healthcare,0.56,1.24,8.97,7.62,2.514,0.57,1.92
CSAN,Risky,3.95,0.0,Energy,0.48,1.54,28.44,17.99,1.796,0.27,3.91
DD,Risky,40.2,23.24,Basic Materials,0.43,4.89,17.77,14.85,2.002,4.26,16.84
MODG,Risky,11.67,0.0,Consumer Cyclical,0.3,-18.24,3.16,6.28,1.871,-5.37,2.15
COMM,Risky,18.13,15.5,Technology,0.26,3.69,19.79,4.7,2.254,0.4,4.02
AQN,Risky,6.15,87.86,Utilities,0.24,3.66,25.07,18.76,1.227,1.46,4.73
GDS,Risky,34.9,49.86,Technology,0.21,2.03,12.55,9.45,2.513,0.68,6.68
BHC,Risky,6.95,7.16,Healthcare,0.05,7.87,26.74,18.31,1.304,1.12,2.58
BILI,Risky,24.59,94.58,Communication Services,0.01,-7.31,4.61,-24.71,1.639,-14.7,10.0
ANDG,Risky,25.93,0.0,Consumer Cyclical,0.0,0.0,41.27,-14.21,3.061,-9.05,2.88
MDLN,Risky,42.0,60.87,Healthcare,0.0,0.0,8.07,26.62,3.659,100.0,33.06
HE,Risky,12.3,5.67,Utilities,-0.1,-21.95,6.69,-5.73,1.347,-13.72,2.12
QDEL,Risky,28.56,0.0,Healthcare,-0.16,-35.82,6.67,23.55,1.78,-10.32,1.94
GOGO,Risky,4.66,0.0,Communication Services,-0.35,7.16,12.86,28.48,1.738,1.32,0.62
BMBL,Risky,3.57,0.0,Communication Services,-0.5,-29.56,26.88,2.49,3.55,-17.66,0.57
BULL,Risky,7.77,0.0,Technology,-0.52,-1.92,20.59,6.62,1.33,-97.15,3.9
RUN,Risky,18.4,0.0,Technology,-0.6,-19.04,0.5,-33.59,1.457,-4.17,4.27
IHRT,Risky,4.16,0.0,Communication Services,-0.71,-16.77,9.25,6.02,1.589,-2.08,0.62
APLS,Risky,25.12,69.78,Healthcare,-0.78,-22.35,48.67,-436.39,3.544,-3.87,3.18
PTCT,Risky,75.96,8.83,Healthcare,-1.04,-17.45,1.65,-47.0,2.318,-1.17,6.1
PTON,Risky,6.16,0.0,Consumer Cyclical,-1.52,1.43,9.8,-24.67,1.902,0.14,2.57
BCRX,Risky,7.8,0.0,Healthcare,-2.4,3.5,18.57,-49.94,1.87,0.12,1.64
CERS,Risky,2.06,0.0,Healthcare,-4.53,-8.65,2.34,-20.79,1.89,-1.34,0.4
MNKD,Risky,5.67,56.7,Healthcare,-7.31,21.95,22.86,-27.65,3.288,1.8,1.74
CAI,Risky,26.98,0.0,Healthcare,-9.31,-130.03,15.05,-96.3,9.93,-4.63,7.61
IMSR,Risky,6.11,0.0,Utilities,-15.17,-240.14,1997303.7,-39054.2,3.924,-7.73,0.5
