Ticker,Tier,Price,P/E,Sector,Z-Score,ROIC %,Op Margin %,Avg Margin (4Y),Curr Ratio,Int Cov,Mkt Cap (B)
TFPM.TO,Risky,48.25,34.46,Basic Materials,174.76,-0.41,58.42,44.57,1.676,-1.27,9.97
OR.TO,Risky,52.75,48.84,Basic Materials,31.43,2.8,65.18,53.9,4.373,4.78,9.93
GGD.TO,Risky,2.99,42.71,Basic Materials,21.46,6.48,29.13,-3.72,7.626,45.24,1.29
AYA.TO,Risky,20.7,0.0,Basic Materials,11.18,-7.1,27.81,1.27,1.958,-162.16,2.94
HSTR.V,Risky,2.66,14.78,Basic Materials,8.4,30.32,15.07,-inf,2.495,14.52,0.68
LMN.V,Risky,26.1,37.83,Technology,6.79,-20.5,20.48,16.17,2.044,-11.05,6.7
PDN.TO,Risky,10.05,0.0,Energy,5.87,-4.79,16.74,-265.64,4.022,-1.85,4.52
SCZ.V,Risky,13.55,15.4,Basic Materials,5.62,78.76,15.33,-3.59,1.581,87.35,1.24
ITR.V,Risky,5.41,25.76,Basic Materials,4.95,-3.52,29.5,-inf,1.575,-3.0,0.98
TI.TO,Risky,4.04,21.26,Basic Materials,4.22,57.94,3.81,-3.77,1.385,2.67,0.37
VLE.TO,Risky,7.91,2.51,Energy,3.55,20.85,29.3,-inf,2.436,17.05,0.84
SAP.TO,Risky,40.34,0.0,Consumer Defensive,3.35,0.94,6.23,4.82,1.617,0.84,16.55
SSRM.TO,Risky,30.49,21.47,Basic Materials,3.21,-6.15,24.81,12.64,2.407,-23.47,6.19
NEO.TO,Risky,18.28,0.0,Basic Materials,2.85,1.78,6.84,7.54,2.236,4.76,0.76
TNZ.TO,Risky,24.21,3.94,Energy,2.07,-4.73,3.16,1.22,1.44,-37.04,0.77
TECK-B.TO,Risky,68.46,27.83,Basic Materials,1.92,0.13,13.68,20.92,2.783,0.07,33.42
MRE.TO,Risky,10.46,0.0,Consumer Cyclical,1.91,4.76,5.47,4.39,1.206,1.69,0.76
EFN.TO,Risky,35.05,23.68,Industrials,1.87,4.53,49.36,25.67,4.155,339.53,14.02
NTR.TO,Risky,82.93,16.17,Basic Materials,1.84,4.71,13.48,17.5,1.409,2.54,40.29
ATS.TO,Risky,39.32,0.0,Industrials,1.75,0.44,10.34,7.75,1.63,0.16,3.81
CAS.TO,Risky,12.88,64.4,Consumer Cyclical,1.56,2.81,6.78,4.21,1.526,0.8,1.3
BB.TO,Risky,5.35,89.17,Technology,1.55,1.52,13.12,-8.64,2.144,2.42,3.16
MATR.TO,Risky,7.93,17.24,Energy,1.3,3.22,5.53,7.41,1.872,1.55,0.49
AFN.TO,Risky,23.67,0.0,Industrials,1.11,5.26,8.67,9.44,1.639,0.92,0.45
CU.TO,Risky,42.91,21.89,Utilities,0.98,5.0,28.41,28.48,1.557,2.23,11.67
SOBO.TO,Risky,36.22,16.46,Energy,0.98,8.42,32.32,35.03,1.359,2.08,7.54
ACO-X.TO,Risky,56.81,14.83,Utilities,0.84,5.74,22.8,25.32,1.809,2.65,6.49
CURA.TO,Risky,3.55,0.0,Healthcare,0.64,-0.66,1.26,5.92,1.472,-0.17,2.72
AQN.TO,Risky,8.64,86.4,Utilities,0.35,3.66,25.07,18.76,1.227,1.46,6.64
OGI.TO,Risky,2.38,0.0,Healthcare,0.1,-3.51,1.49,-36.56,2.258,,0.32
BHC.TO,Risky,10.8,8.06,Healthcare,0.08,7.87,26.74,18.31,1.304,1.12,4.0
