Ticker,Tier,Price,P/E,Sector,Z-Score,ROIC %,Op Margin %,Avg Margin (4Y),Curr Ratio,Int Cov,Mkt Cap (B)
SPOT,Strong,553.87,71.01,Communication Services,12.28,18.23,13.62,0.17,1.612,38.25,114.04
ONON,Strong,50.65,60.3,Consumer Cyclical,12.23,17.21,15.71,1.67,2.554,18.7,16.72
VITL,Strong,30.06,22.77,Consumer Defensive,12.2,24.41,10.76,4.53,2.651,67.87,1.35
CAVA,Strong,69.595,60.0,Consumer Cyclical,11.1,5.88,6.26,0.65,2.686,,8.07
CHRW,Strong,166.01,33.61,Industrials,8.73,22.51,5.58,4.13,1.585,7.44,19.61
CLS,Strong,288.47,46.91,Technology,7.0,19.69,10.32,4.51,1.468,11.21,33.18
PEGA,Strong,59.49,38.88,Technology,6.53,21.91,3.79,0.86,1.359,21.87,10.18
PFGC,Strong,88.415,42.3,Consumer Defensive,4.62,6.12,1.32,1.17,1.671,2.28,13.86
WDAY,Strong,209.79,88.89,Technology,4.61,6.05,10.85,0.81,1.829,6.6,56.01
DNOW,Strong,13.7,15.75,Industrials,4.59,10.09,5.84,4.66,2.52,100.0,2.54
BG,Strong,97.35,10.96,Consumer Defensive,4.34,11.42,2.19,3.84,1.66,4.24,18.82
HUM,Strong,277.61,25.94,Healthcare,4.22,5.12,2.04,3.59,2.024,3.61,33.39
UGP,Strong,3.87,7.74,Energy,4.1,18.51,3.86,2.74,1.829,3.93,4.14
MMM,Strong,165.24,26.35,Industrials,4.01,21.01,24.37,2.21,1.842,5.05,88.01
PSX,Strong,144.21,38.87,Energy,3.57,6.3,4.4,3.17,1.227,3.82,58.28
TTI,Strong,9.91,10.77,Industrials,3.44,10.63,7.26,3.88,2.355,2.28,1.33
PSN,Strong,68.2,31.43,Technology,3.19,11.74,6.15,4.88,1.668,8.13,7.28
ADM,Strong,61.15,24.86,Consumer Defensive,3.11,8.88,1.95,3.6,1.372,4.19,29.39
VIPS,Strong,18.34,9.6,Consumer Cyclical,2.98,22.32,5.91,6.66,1.297,174.17,9.04
MDT,Strong,98.69,26.75,Healthcare,2.97,8.07,20.3,18.47,2.415,8.72,126.58
FLEX,Strong,60.38,26.6,Technology,2.93,14.55,5.1,3.77,1.334,5.69,22.58
ENTG,Strong,99.85,52.55,Technology,2.92,6.83,15.4,16.06,3.444,2.5,15.14
XYZ,Strong,70.16,14.12,Technology,2.92,5.97,6.87,2.74,2.183,,42.77
IMAX,Strong,33.875,47.71,Communication Services,2.91,7.38,27.25,7.82,3.942,5.66,1.82
MHK,Strong,114.17,16.99,Consumer Cyclical,2.91,6.87,6.66,7.93,2.246,14.32,7.09
GAP,Strong,28.41,12.8,Consumer Cyclical,2.9,14.18,8.22,3.89,1.72,14.07,10.57
COP,Strong,98.72,13.94,Energy,2.89,13.36,19.54,27.22,1.323,13.34,123.3
FCX,Strong,54.23,37.92,Basic Materials,2.86,14.64,28.06,30.34,2.455,22.65,77.87
ELV,Strong,374.745,15.28,Healthcare,2.84,7.78,3.46,5.5,1.56,7.67,84.38
LEVI,Strong,21.935,16.74,Consumer Cyclical,2.84,5.97,11.68,9.8,1.519,6.24,8.68
SBH,Strong,15.375,8.13,Consumer Cyclical,2.84,14.28,5.93,8.8,2.26,5.09,1.51
CRI,Strong,34.645,14.08,Consumer Cyclical,2.83,13.62,3.55,11.83,2.26,8.37,1.26
CF,Strong,81.41,9.84,Basic Materials,2.82,15.03,33.94,36.5,2.273,13.68,13.19
